period,stateid,stateDescription,sectorid,sectorName,price,price-units
2021-07,US,U.S. Total,COM,commercial,11.46,cents per kilowatthour
2021-06,US,U.S. Total,ALL,all sectors,11.25,cents per kilowatthour
2021-06,US,U.S. Total,TRA,transportation,10.42,cents per kilowatthour
2021-06,US,U.S. Total,RES,residential,13.83,cents per kilowatthour
2021-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-06,US,U.S. Total,IND,industrial,7.22,cents per kilowatthour
2021-06,US,U.S. Total,COM,commercial,11.33,cents per kilowatthour
2021-05,US,U.S. Total,ALL,all sectors,10.69,cents per kilowatthour
2021-05,US,U.S. Total,TRA,transportation,10.03,cents per kilowatthour
2021-05,US,U.S. Total,RES,residential,13.86,cents per kilowatthour
2021-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-05,US,U.S. Total,IND,industrial,6.65,cents per kilowatthour
2021-05,US,U.S. Total,COM,commercial,10.86,cents per kilowatthour
2021-04,US,U.S. Total,ALL,all sectors,10.63,cents per kilowatthour
2021-04,US,U.S. Total,TRA,transportation,10.03,cents per kilowatthour
2021-04,US,U.S. Total,RES,residential,13.73,cents per kilowatthour
2021-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-04,US,U.S. Total,IND,industrial,6.7,cents per kilowatthour
2021-04,US,U.S. Total,COM,commercial,10.87,cents per kilowatthour
2021-03,US,U.S. Total,ALL,all sectors,10.84,cents per kilowatthour
2021-03,US,U.S. Total,TRA,transportation,9.7,cents per kilowatthour
2021-03,US,U.S. Total,RES,residential,13.24,cents per kilowatthour
2021-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-03,US,U.S. Total,IND,industrial,6.98,cents per kilowatthour
2021-03,US,U.S. Total,COM,commercial,11.08,cents per kilowatthour
2021-02,US,U.S. Total,ALL,all sectors,11.16,cents per kilowatthour
2021-02,US,U.S. Total,TRA,transportation,9.92,cents per kilowatthour
2021-02,US,U.S. Total,RES,residential,13.01,cents per kilowatthour
2021-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-02,US,U.S. Total,IND,industrial,7.75,cents per kilowatthour
2021-02,US,U.S. Total,COM,commercial,11.36,cents per kilowatthour
2021-01,US,U.S. Total,ALL,all sectors,10.29,cents per kilowatthour
2021-01,US,U.S. Total,TRA,transportation,9.48,cents per kilowatthour
2021-01,US,U.S. Total,RES,residential,12.62,cents per kilowatthour
2021-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-01,US,U.S. Total,IND,industrial,6.32,cents per kilowatthour
2021-01,US,U.S. Total,COM,commercial,10.27,cents per kilowatthour
2020-12,US,U.S. Total,ALL,all sectors,10.37,cents per kilowatthour
2020-12,US,U.S. Total,TRA,transportation,9.86,cents per kilowatthour
2020-12,US,U.S. Total,RES,residential,12.78,cents per kilowatthour
2020-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-12,US,U.S. Total,IND,industrial,6.41,cents per kilowatthour
2020-12,US,U.S. Total,COM,commercial,10.41,cents per kilowatthour
2020-11,US,U.S. Total,ALL,all sectors,10.38,cents per kilowatthour
2020-11,US,U.S. Total,TRA,transportation,9.95,cents per kilowatthour
2020-11,US,U.S. Total,RES,residential,13.31,cents per kilowatthour
2020-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-11,US,U.S. Total,IND,industrial,6.49,cents per kilowatthour
2020-11,US,U.S. Total,COM,commercial,10.53,cents per kilowatthour
2020-10,US,U.S. Total,ALL,all sectors,10.65,cents per kilowatthour
2020-10,US,U.S. Total,TRA,transportation,9.87,cents per kilowatthour
2020-10,US,U.S. Total,RES,residential,13.66,cents per kilowatthour
2020-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-10,US,U.S. Total,IND,industrial,6.72,cents per kilowatthour
2020-10,US,U.S. Total,COM,commercial,10.72,cents per kilowatthour
2020-09,US,U.S. Total,ALL,all sectors,10.99,cents per kilowatthour
2020-09,US,U.S. Total,TRA,transportation,10.37,cents per kilowatthour
2020-09,US,U.S. Total,RES,residential,13.49,cents per kilowatthour
2020-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-09,US,U.S. Total,IND,industrial,7,cents per kilowatthour
2020-09,US,U.S. Total,COM,commercial,11.02,cents per kilowatthour
2020-08,US,U.S. Total,ALL,all sectors,11.02,cents per kilowatthour
2020-08,US,U.S. Total,TRA,transportation,10.29,cents per kilowatthour
2020-08,US,U.S. Total,RES,residential,13.26,cents per kilowatthour
2020-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-08,US,U.S. Total,IND,industrial,7.07,cents per kilowatthour
2020-08,US,U.S. Total,COM,commercial,10.9,cents per kilowatthour
2020-07,US,U.S. Total,ALL,all sectors,11.06,cents per kilowatthour
2020-07,US,U.S. Total,TRA,transportation,10.27,cents per kilowatthour
2020-07,US,U.S. Total,RES,residential,13.21,cents per kilowatthour
2020-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-07,US,U.S. Total,IND,industrial,7.16,cents per kilowatthour
2020-07,US,U.S. Total,COM,commercial,10.84,cents per kilowatthour
2020-06,US,U.S. Total,ALL,all sectors,10.88,cents per kilowatthour
2020-06,US,U.S. Total,TRA,transportation,10.55,cents per kilowatthour
2020-06,US,U.S. Total,RES,residential,13.22,cents per kilowatthour
2020-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-06,US,U.S. Total,IND,industrial,6.94,cents per kilowatthour
2020-06,US,U.S. Total,COM,commercial,10.89,cents per kilowatthour
2020-05,US,U.S. Total,ALL,all sectors,10.39,cents per kilowatthour
2020-05,US,U.S. Total,TRA,transportation,9.3,cents per kilowatthour
2020-05,US,U.S. Total,RES,residential,13.1,cents per kilowatthour
2020-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-05,US,U.S. Total,IND,industrial,6.54,cents per kilowatthour
2020-05,US,U.S. Total,COM,commercial,10.4,cents per kilowatthour
2020-04,US,U.S. Total,ALL,all sectors,10.34,cents per kilowatthour
2020-04,US,U.S. Total,TRA,transportation,9.72,cents per kilowatthour
2020-04,US,U.S. Total,RES,residential,13.24,cents per kilowatthour
2020-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-04,US,U.S. Total,IND,industrial,6.39,cents per kilowatthour
2020-04,US,U.S. Total,COM,commercial,10.37,cents per kilowatthour
2020-03,US,U.S. Total,ALL,all sectors,10.21,cents per kilowatthour
2020-03,US,U.S. Total,TRA,transportation,9.67,cents per kilowatthour
2020-03,US,U.S. Total,RES,residential,13.04,cents per kilowatthour
2020-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-03,US,U.S. Total,IND,industrial,6.39,cents per kilowatthour
2020-03,US,U.S. Total,COM,commercial,10.34,cents per kilowatthour
2020-02,US,U.S. Total,ALL,all sectors,10.22,cents per kilowatthour
2020-02,US,U.S. Total,TRA,transportation,9.45,cents per kilowatthour
2020-02,US,U.S. Total,RES,residential,12.82,cents per kilowatthour
2020-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-02,US,U.S. Total,IND,industrial,6.44,cents per kilowatthour
2020-02,US,U.S. Total,COM,commercial,10.3,cents per kilowatthour
2020-01,US,U.S. Total,ALL,all sectors,10.22,cents per kilowatthour
2020-01,US,U.S. Total,TRA,transportation,9.64,cents per kilowatthour
2020-01,US,U.S. Total,RES,residential,12.76,cents per kilowatthour
2020-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2020-01,US,U.S. Total,IND,industrial,6.37,cents per kilowatthour
2020-01,US,U.S. Total,COM,commercial,10.18,cents per kilowatthour
2019-12,US,U.S. Total,ALL,all sectors,10.22,cents per kilowatthour
2019-12,US,U.S. Total,TRA,transportation,9.46,cents per kilowatthour
2019-12,US,U.S. Total,RES,residential,12.68,cents per kilowatthour
2019-12,US,U.S. Total,OTH,other,,cents per kilowatthour
